"spkid","full_name","sats","diameter","class","data_arc","first_obs","last_obs","e","a","i","per_y","condition_code"
1000981,"     C/1914 S1 (Campbell)",0,,JFC,5,1914-11-13,1914-11-18,0.9038,7.053,76.86,18.7,9
1000985,"     C/1917 F1 (Mellish)",0,,HTC,38,1917-03-24,1917-05-01,0.9930,27.29,32.69,143,5
1000024,"     C/1921 H1 (Dubiago)",0,,HTC,40,1921-04-29,1921-06-08,0.9347,17.1,22.35,70.7,7
1001031,"     C/1937 D1 (Wilk)",0,,HTC,59,1937-03-02,1937-04-30,0.9806,31.97,26.01,181,7
1001045,"     C/1942 EA (Vaisala)",0,,HTC,3,1942-03-20,1942-03-23,0.9268,17.61,37.86,73.9,9
1001109,"     C/1960 Y1 (Candy)",0,,HTC,8,1961-01-05,1961-01-13,0.9303,15.03,151.17,58.2,9
1000037,"     D/1978 R1 (Haneda-Campos)",0,,JFc,122,1978-07-30,1978-11-29,0.6652,3.29,5.95,5.97,6
1001234,"     C/1989 A3 (Bradfield)",0,,HTC,53,1989-01-07,1989-03-01,0.9781,19.2,83.06,84.1,7
1000129,"     C/1991 L3 (Levy)",0,11.6,HTC,587,1991-06-14,1993-01-21,0.9289,13.81,19.19,51.3,3
1001439,"     P/1999 J6 (SOHO)",0,,JFC,4000,1999-05-10,2010-04-22,0.9842,3.099,26.63,5.46,5
1000271,"     P/1999 RO28 (LONEOS)",0,,JFc,67,1999-09-07,1999-11-13,0.6508,3.527,8.19,6.62,5
1000373,"     C/2001 OG108 (LONEOS)",0,13.6,HTC,340,2001-07-28,2002-07-03,0.9253,13.3,80.25,48.5,2
1000362,"     C/2001 W2 (BATTERS)",0,,HTC,198,2001-11-21,2002-06-07,0.9414,17.93,115.91,75.9,4
1001843,"     C/2002 R5 (SOHO)",0,,JFC,2105,2002-09-05,2008-06-10,0.9853,3.216,14.12,5.77,5
1001852,"     P/2002 S7 (SOHO)",0,,JFC,2114,2002-09-20,2008-07-04,0.9848,3.224,13.58,5.79,4
1002004,"     P/2003 T12 (SOHO)",0,,JFc,4592,2003-10-09,2016-05-05,0.7762,2.568,11.48,4.12,1
